Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID,cust_id,loan,utility,finance,shopping,financial_services,health_and_care,home_lifestyle,transport_travel,leisure,public_services
0.0,Unknown,Male,bachelor's degree,married - registered,4.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,58675.02,24.0,1.6,1.0,4.0,8.0,1.0,1.0,16.0,1.0,4.0,62477.0,43654.6,61,Central,Entrepreneur,780,780,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.0,0.0,Male,vocational certificate/ diploma,single,5.0,5.0,1.0,0.0,6.0,0.0,0.0,1.0,4721.97,49.0,2.33,1.0,5.0,11.0,1.0,3.0,38.0,1.0,4.0,34509.0,40228.51,33,Central,Entrepreneur,3240,3240,0.0,0.2307692307692307,0.5384615384615384,0.0769230769230769,0.0,0.0,0.1538461538461538,0.0,0.0,0.0
0.0,0.0,Female,vocational certificate/ diploma,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,33,Eastern,Student,2601,2601,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Female,vocational certificate,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,32,Central,Corporate Employee,3287,3287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Unknown,Female,high school,single,4.0,4.0,6.0,0.0,3.0,1.0,0.0,3.0,18068.42,45.0,2.5,1.0,6.0,18.0,1.0,2.0,27.0,1.0,4.0,89859.17,81573.06,28,Central,Student,686,686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Unknown,Female,others,married,5.0,5.0,1.0,0.0,4.0,1.0,0.0,1.0,17760.13,81.0,3.0,1.0,9.0,35.0,1.0,4.0,46.0,1.0,6.0,63819.0,46169.93,52,Eastern,Corporate Employee,1819,1819,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Male,bachelor's degree,single,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,12702.85,63.0,2.74,1.0,7.0,16.0,1.0,2.0,47.0,1.0,5.0,31443.0,19301.0,29,Central,Corporate Employee,1753,1753,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0
0.0,0.0,Female,less than high school,single,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,20,Central,Student,790,790,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Male,vocational certificate/ diploma,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,39,Central,Corporate Employee,3849,3849,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Male,bachelor's degree,single,4.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,12581.84,97.0,3.13,1.0,8.0,43.0,1.0,6.0,54.0,1.0,5.0,131795.0,126088.91,44,Central,Corporate Employee,2532,2532,0.0,0.032258064516129,0.3870967741935484,0.2903225806451613,0.2903225806451613,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Male,bachelor's degree,married,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,15624.63,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,8600.0,30200.0,44,Southern,Corporate Employee,1689,1689,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Female,vocational certificate/ diploma,married - registered,5.0,5.0,1.0,1.0,4.0,1.0,0.0,1.0,12807.86,37.0,2.18,1.0,6.0,8.0,1.0,2.0,29.0,1.0,4.0,47100.0,38161.97,51,Central,Corporate Employee,1883,1883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Male,high school,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,52,Central,Corporate Employee,2475,2475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Male,bachelor's degree,single,8.0,7.0,8.0,0.0,4.0,1.0,1.0,2.0,278.85,84.0,3.23,1.0,9.0,36.0,1.0,4.0,48.0,1.0,5.0,35676.0,35451.93,34,Central,Professional,523,523,0.2857142857142857,0.0,0.5714285714285714,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Male,less than high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,47,Central,Corporate Employee,2285,2285,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
0.0,Unknown,Female,bachelor's degree,single,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,3949.84,23.0,1.92,1.0,4.0,6.0,1.0,1.0,17.0,1.0,3.0,11000.0,10860.0,44,Northern,Corporate Employee,3432,3432,0.0909090909090909,0.0,0.6818181818181818,0.0454545454545454,0.1818181818181818,0.0,0.0,0.0,0.0,0.0
0.0,Unknown,Female,others,others,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,651.12,72.0,3.6,1.0,22.0,40.0,1.0,14.0,32.0,1.0,8.0,48917.0,48266.0,21,Central,Student,3159,3159,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
0.0,1.0,Female,bachelor's degree,married,7.0,7.0,3.0,1.0,2.0,1.0,0.0,1.0,3321.43,41.0,2.16,1.0,10.0,10.0,1.0,1.0,31.0,1.0,9.0,55740.0,54648.02,51,Central,Professional,2115,2115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Female,high school,separate,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.33,170.0,6.8,1.0,19.0,38.0,1.0,5.0,132.0,1.0,14.0,71549.01,72049.24,46,Central,Corporate Employee,3592,3592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,2.0,Female,less than high school,married,5.0,5.0,1.0,0.0,4.0,0.0,0.0,1.0,24333.33,32.0,1.6,1.0,4.0,17.0,1.0,2.0,15.0,1.0,2.0,242351.0,223967.93,48,Central,Freelancer,1512,1512,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Female,less than high school,single,7.0,6.0,1.0,1.0,5.0,1.0,0.0,1.0,5329.56,132.0,4.4,1.0,12.0,16.0,1.0,7.0,116.0,1.0,8.0,47171.6,48066.35,30,Central,Professional,652,652,0.3,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Unknown,Female,Unknown,single,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,21,Southern,Entrepreneur,3666,3666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Female,less than high school,single,3.0,3.0,3.0,0.0,3.0,1.0,0.0,3.0,1852.2,106.0,3.66,1.0,10.0,14.0,1.0,2.0,92.0,1.0,9.0,22982.0,29496.0,31,Northeastern,Corporate Employee,836,836,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Unknown,Female,others,married - registered,5.0,5.0,2.0,1.0,2.0,1.0,0.0,1.0,0.28,16.0,1.6,1.0,2.0,6.0,1.0,1.0,10.0,1.0,2.0,36393.91,36394.0,41,Eastern,Corporate Employee,3200,3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,Male,bachelor's degree,single,5.0,4.0,4.0,0.0,4.0,1.0,0.0,3.0,148301.12,50.0,2.17,1.0,6.0,27.0,1.0,4.0,23.0,1.0,2.0,129561.59,215443.99,44,Central,Entrepreneur,963,963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Unknown,Female,master's degree,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,63,Central,Entrepreneur,946,946,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Female,high school,married - registered,3.0,3.0,2.0,0.0,2.0,1.0,0.0,2.0,40.23,65.0,2.6,1.0,8.0,23.0,1.0,3.0,42.0,1.0,8.0,7270.0,26275.0,36,Central,Corporate Employee,2477,2477,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Female,bachelor's degree,single,7.0,7.0,1.0,1.0,5.0,1.0,0.0,1.0,24158.51,85.0,3.4,1.0,10.0,13.0,1.0,3.0,72.0,1.0,10.0,46952.0,74727.99,55,Central,Corporate Employee,3775,3775,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Unknown,Female,others,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,37,Central,Student,2237,2237,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Female,bachelor's degree,married,3.0,3.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,10.0,1.25,1.0,2.0,4.0,1.0,1.0,6.0,1.0,1.0,6615.0,7415.55,34,Central,Corporate Employee,2293,2293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,Female,bachelor's degree,married,5.0,5.0,1.0,1.0,4.0,0.0,0.0,1.0,26702.1,86.0,3.19,1.0,9.0,20.0,1.0,3.0,66.0,1.0,7.0,213772.1,215378.26,41,Central,Corporate Employee,368,368,0.2307692307692307,0.1923076923076923,0.2692307692307692,0.2692307692307692,0.0,0.0,0.0,0.0,0.0384615384615384,0.0
0.0,Unknown,Male,others,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,24,Central,Student,3280,3280,0.0,0.2,0.7333333333333333,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0
